"IDRSSD"	FDIC Certificate Number	OCC Charter Number	OTS Docket Number	Primary ABA Routing Number	Financial Institution Name	Financial Institution Address	Financial Institution City	Financial Institution State	Financial Institution Zip Code	Financial Institution Filing Type	Last Date/Time Submission Updated On
16551	10956	0	0	91907471	NORTHVIEW BANK	510 MAIN STREET 	SANDSTONE	MN	55072	051	2025-10-30T17:29:20
17110	26189	0	0	36002085	HAVERFORD TRUST COMPANY, THE	3 RADNOR CORPORATE CENTER SUITE 450 	RADNOR	PA	19087	041	2025-11-05T08:55:06
17147	4365	0	11365	74900657	FIRST MERCHANTS BANK	200 EAST JACKSON STREET 	MUNCIE	IN	47305	041	2025-10-30T10:11:05
17259	26260	20838	0	103102494	FIRST NATIONAL BANK IN MARLOW, THE	301 WEST MAIN STREET 	MARLOW	OK	73055	051	2025-11-18T11:54:15
17950	2224	10844	0	92903542	BANK OF BRIDGER, NATIONAL ASSOCIATION	101 S. MAIN STREET 	BRIDGER	MT	59014	051	2025-10-29T11:45:00
17978	29904	704307	4307	264271280	ELIZABETHTON FEDERAL SAVINGS BANK	112-114 NORTH SYCAMORE STREET 	ELIZABETHTON	TN	376433326	051	2025-10-28T14:47:48
18050	3091	4093	0	114904953	FIRST NATIONAL BANK OF BASTROP, THE	489 HIGHWAY 71 WEST 	BASTROP	TX	786023217	051	2025-10-30T09:56:50
18827	7900	5073	0	43311497	NEXTIER BANK, NA	222 MARKET STREET 	KITTANNING	PA	16201	051	2025-10-29T15:22:00
18836	9998	0	12053	52203703	CAPON VALLEY BANK	2 W MAIN ST 	WARDENSVILLE	WV	26851	051	2025-10-27T11:25:11
18854	4147	0	0	103103778	BANK7	1039 NW 63RD STREET 	OKLAHOMA CITY	OK	73116	041	2025-10-30T14:22:14
19356	9881	0	0	103110907	SECURITY BANK AND TRUST COMPANY	2 SOUTH MAIN STREET 	MIAMI	OK	74354	051	2025-10-21T10:07:45
19936	15477	0	12677	61201042	CITIZENS BANK OF AMERICUS	119 NORTH LEE STREET 	AMERICUS	GA	31709	051	2025-10-22T16:50:02
19972	34711	0	9008	243374108	FARMERS BUILDING AND SAVINGS BANK	290 WEST PARK 	ROCHESTER	PA	15074	051	2025-10-24T10:30:29
20053	10015	0	0	91806242	SECURITY BANK	112 EAST MAIN ST. 	NEW AUBURN	WI	54757	051	2025-10-29T23:03:16
20633	6803	0	0	51501723	MCNB BANK AND TRUST CO.	75 WYOMING ST 	WELCH	WV	24801	051	2025-10-29T16:22:11
20857	10998	0	0	91902793	FM BANK	220 E. ELM AVENUE 	WASECA	MN	56093	051	2025-10-15T14:32:32
21256	16583	0	0	101114565	STATE BANK OF BURRTON	200 NORTH BURRTON AVE 	BURRTON	KS	67020	051	2025-10-09T11:54:01
21359	22263	0	0	91205128	AMERICAN STATE BANK OF GRYGLA	102 SOUTH MAIN AVENUE 	GRYGLA	MN	56727	051	2025-10-30T14:00:25
21658	12511	0	0	91803355	ALLIANCE BANK	245 S. EAU CLAIRE ST. 	MONDOVI	WI	54755	041	2025-10-28T15:11:22
22048	1753	0	0	82901567	UNION BANK & TRUST COMPANY	102 WEST MCCLOY 	MONTICELLO	AR	71655	051	2025-11-14T12:17:05
22543	8162	0	11909	72406506	STATE SAVINGS BANK	703 MAIN STREET 	FRANKFORT	MI	49635	051	2025-12-10T09:47:48
22552	10576	0	0	91204462	FIRST SOUTHEAST BANK	3 MAIN AVENUE NORTH 	HARMONY	MN	55939	051	2025-10-28T16:49:46
22730	2452	0	0	51502159	WEST UNION BANK	212 MAIN STREET 	WEST UNION	WV	26456	051	2025-10-21T13:23:06
23456	5162	6906	0	91204763	FIRST NATIONAL BANK OF HENNING, THE	106 MN HWY 78 NORTH 	OTTERTAIL	MN	56571	051	2025-10-19T13:46:34
23504	6976	0	9545	21406667	DIME COMMUNITY BANK	2200 MONTAUK HIGHWAY 	BRIDGEHAMPTON	NY	11932	041	2025-10-29T14:11:25
23643	90	0	0	82905343	COMMERCIAL BANK & TRUST COMPANY	212 WEST GAINES STREET 	MONTICELLO	AR	71655	051	2025-10-29T15:39:01
23755	5357	11412	0	91809980	FIRST NATIONAL COMMUNITY BANK	109 EAST SECOND STREET 	NEW RICHMOND	WI	54017	051	2025-10-29T16:03:06
24378	32307	0	8123	241271054	GALION BUILDING AND LOAN BANK, THE	135 S MARKET STREET 	GALION	OH	44833	051	2025-10-27T10:33:48
24659	10178	0	0	91915722	PRODUCE STATE BANK	109 PARK AVENUE WEST 	HOLLANDALE	MN	56045	051	2025-10-02T10:15:06
24949	12788	0	0	75901590	BARABOO STATE BANK	101 THIRD AVENUE 	BARABOO	WI	53913	051	2025-10-23T17:25:01
25357	20093	0	0	103001456	ALL AMERICA BANK	200 S. ROCKWELL AVENUE 	OKLAHOMA CITY	OK	73128	051	2025-10-07T14:30:52
25647	22536	0	0	71924681	FIRST SECURE BANK AND TRUST CO.	10360 SOUTH ROBERTS ROAD 	PALOS HILLS	IL	60465	041	2025-10-28T15:07:29
26765	3405	0	0	114915272	VANTAGE BANK TEXAS	45 NORTHEAST LOOP 410, SUITE 190 	SAN ANTONIO	TX	78216	051	2025-10-30T17:17:10
27070	29294	703235	3235	291571270	PREVAIL BANK	675 EAST BROADWAY AVENUE 	MEDFORD	WI	54451	051	2025-10-30T15:55:43
27614	10663	0	0	41208719	ANDOVER BANK, THE	19 PUBLIC SQUARE 	ANDOVER	OH	440030519	051	2025-10-28T15:51:37
27847	1527	0	0	82904056	DIAMOND BANK	319 EAST MAIN STREET 	MURFREESBORO	AR	71958	051	2025-10-17T17:09:11
28013	28710	718063	18063	226071457	NORTHFIELD BANK	4142 HYLAN BOULEVARD 	STATEN ISLAND	NY	10308	041	2025-10-29T16:02:07
28152	11415	0	0	91908179	HARVEST BANK	75 NORTH MAIN STREET 	KIMBALL	MN	55353	041	2025-10-29T13:30:49
28675	29293	703234	3234	291871226	CUMBERLAND FEDERAL BANK, FSB	1390 SECOND AVE. 	CUMBERLAND	WI	54829	041	2025-10-29T12:47:52
28732	1475	0	0	64102384	PEOPLES BANK & TRUST COMPANY	1203 HILLSBORO BOULEVARD 	MANCHESTER	TN	37355	051	2025-10-16T17:15:45
29476	31711	0	0	284170109	RIVERBANK	203 W. BROADWAY ST. PO BOX 397	POCAHONTAS	AR	72455	051	2025-10-20T15:59:39
29636	12204	0	10889	65302154	CITIZENS BANK OF PHILADELPHIA, THE	521 MAIN STREET 	PHILADELPHIA	MS	39350	051	2025-11-06T12:21:42
29878	30303	705138	5138	221472792	MASPETH FEDERAL SAVINGS AND LOAN ASSOCIATION	56-18 69TH ST 	MASPETH	NY	11378	051	2025-10-30T17:02:30
30052	26658	0	0	111316829	AMISTAD BANK	1301 VETERANS BOULEVARD 	DEL RIO	TX	78840	051	2025-10-29T11:48:20
31134	2160	7899	11878	61202245	FIRST NATIONAL BANK OF WAYNESBORO, THE	626 LIBERTY ST 	WAYNESBORO	GA	30830	041	2025-10-29T09:14:52
31255	17612	0	0	113001077	CENTRAL BANK	11201 CLAY ROAD 	HOUSTON	TX	770415578	041	2025-10-24T09:08:22
31657	11904	0	0	111909443	FIRST STATE BANK OF BEN WHEELER, TEXAS	14269 STATE HWY 64 	BEN WHEELER	TX	75754	051	2025-10-29T11:36:23
31826	6863	9924	14630	51403818	POWELL VALLEY NATIONAL BANK	33785 MAIN STREET 	JONESVILLE	VA	24263	041	2025-10-27T13:45:12
31835	8243	0	9803	65302675	BANK OF ANGUILLA	130 HOLLAND STREET 	ANGUILLA	MS	38721	051	2026-04-14T10:44:24
32234	3639	1926	0	71103952	FIRST NATIONAL BANK AND TRUST COMPANY	2 KELLI COURT 	CLINTON	IL	61727	051	2026-02-25T13:14:56
32766	21693	0	0	111906048	LAKESIDE BANK	2805 RIDGE ROAD 	ROCKWALL	TX	75032	051	2026-07-01T17:25:10
32971	28894	702578	2578	274970607	SECURITY FEDERAL SAVINGS BANK	314 FOURTH STREET 	LOGANSPORT	IN	46947	051	2025-10-29T17:14:20
33147	1027	0	0	84101051	FARMERS BANK AND TRUST COMPANY	400 WEST MAIN STREET 	BLYTHEVILLE	AR	72315	051	2026-04-17T17:10:09
33259	21714	0	0	96005093	PREMIER BANK	2866 WHITE BEAR AVE. 	MAPLEWOOD	MN	55109	051	2025-10-27T10:07:03
33370	31723	707384	7384	242170374	HOME SAVINGS BANK, FSB	202 ELM STREET 	LUDLOW	KY	41016	041	2025-10-23T10:04:46
33839	10075	0	0	71112354	PEOPLES STATE BANK OF COLFAX	101 WEST MAIN STREET 	COLFAX	IL	61728	051	2025-10-06T16:32:45
33857	15545	0	0	104913381	FRONTIER BANK	13333 CALIFORNIA ST, SUITE 100 	OMAHA	NE	68154	041	2026-01-05T12:03:49
34537	131	14838	15273	67005158	SEACOAST NATIONAL BANK	815 COLORADO AVENUE 	STUART	FL	34994	041	2026-02-18T16:27:11
34555	14695	0	0	81507014	MA BANK	1513 NORTH MISSOURI STREET 	MACON	MO	63552	041	2025-10-28T13:21:01
34742	13083	0	0	82901952	FIRST WESTERN BANK	80 WEST MAIN STREET 	BOONEVILLE	AR	72927	051	2025-10-15T15:21:13
35057	1946	0	0	81506390	ALLIANT BANK	101 EAST BROADWAY 	MADISON	MO	65263	041	2025-11-17T11:16:21
35301	14	0	0	11000028	STATE STREET BANK AND TRUST COMPANY	ONE CONGRESS STREET SUITE 1	BOSTON	MA	02114	031	2025-11-04T14:19:53
35646	11235	0	0	75904597	BONDUEL STATE BANK	130 NORTH CECIL STREET 	BONDUEL	WI	54107	051	2025-10-15T10:31:21
35879	30313	0	0	275971029	EAST WISCONSIN SAVINGS BANK	109 WEST SECOND STREET 	KAUKAUNA	WI	54130	051	2025-11-14T12:01:20
36933	19163	0	14828	61101113	FIRST STATE BANK	300 BROAD STREET 	WRENS	GA	30833	051	2025-10-22T09:44:31
37051	13030	0	0	91809524	OAKWOOD BANK	40214 SOUTH EKERN AVENUE 	PIGEON FALLS	WI	54760	051	2025-10-28T14:46:47
37341	21085	0	0	75907743	BANK OF ONTARIO	315 MAIN STREET 	ONTARIO	WI	54651	051	2026-01-13T14:06:36
37435	172	0	10091	61107515	UNITED BANK	685 GRIFFIN STREET 	ZEBULON	GA	30295	051	2025-10-29T10:30:51
37640	17393	0	0	83904563	GERMAN AMERICAN BANK	711 MAIN STREET 	JASPER	IN	47546	041	2025-10-30T13:08:15
37659	12758	0	0	103111977	FARMERS STATE BANK, ALLEN, OKLAHOMA	201 EAST BROADWAY 	ALLEN	OK	74825	051	2025-10-20T10:33:52
37949	11711	0	0	71119289	BANK OF RANTOUL	201 EAST CHAMPAIGN AVENUE 	RANTOUL	IL	61866	051	2025-10-22T09:46:40
38740	13112	0	0	74912865	OWEN COUNTY STATE BANK	201 WEST MORGAN STREET 	SPENCER	IN	47460	051	2025-10-28T16:00:14
39327	5874	0	0	52101012	CALVIN B. TAYLOR BANKING COMPANY OF BERLIN, MARYLAND	24 NORTH MAIN STREET 	BERLIN	MD	21811	051	2025-10-30T13:38:20
40033	11817	0	17580	65303810	RICHTON BANK & TRUST COMPANY	114 S. FRONT STREET 	RICHTON	MS	39476	051	2025-10-27T10:37:22
40499	59070	0	0	211381372	HARBORONE BANK	770 OAK STREET 	BROCKTON	MA	02301	041	2025-10-30T16:11:06
40855	10980	0	0	91207317	ESB BANK	115 N HIGHWAY 44/76 	CALEDONIA	MN	55921	051	2025-10-29T12:56:11
41553	12283	0	0	103101505	FIRST STATE BANK	102 WEST MAIN STREET 	ANADARKO	OK	73005	051	2025-11-07T12:10:01
41629	6913	0	15369	51404325	PIONEER BANK	252 E MAIN STREET 	STANLEY	VA	22851	051	2025-10-30T09:59:55
41825	14017	0	0	55001258	MIDDLETOWN VALLEY BANK	803 EAST MAIN STREET 	MIDDLETOWN	MD	21769	041	2025-10-28T15:18:37
42037	70	0	0	62102593	PEOPLES EXCHANGE BANK	2013 HIGHWAY 21 BYPASS 	MONROEVILLE	AL	36460	051	2025-10-21T15:58:34
42354	3110	8573	0	111303489	COMMERCIAL NATIONAL BANK OF BRADY, THE	105 E. 2ND STREET 	BRADY	TX	76825	051	2025-10-27T10:38:37
42372	30315	705153	5153	253170884	FIRST FEDERAL SAVINGS BANK OF LINCOLNTON	320 EAST MAIN STREET 	LINCOLNTON	NC	28092	051	2025-10-20T13:50:40
42420	7468	0	0	43306826	FIRST COMMONWEALTH BANK	654 PHILADELPHIA ST 	INDIANA	PA	15701	041	2025-10-30T19:30:33
42448	3887	10004	0	84100793	FIRST NATIONAL BANK	200 WEST COURT STREET 	PARAGOULD	AR	72450	051	2025-10-23T16:23:50
42457	12246	0	0	104102642	COMMERCIAL BANK	401 SOUTH MAIN STREET 	NELSON	NE	68961	051	2026-02-12T15:22:17
43052	9036	0	0	91510075	SECURITY STATE BANK	7865 U.S. HIGHWAY 2 	IRON RIVER	WI	54847	051	2025-10-28T10:34:23
43351	17685	0	0	101106528	OUTDOOR BANK	2401 N SETH CHILD ROAD 	MANHATTAN	KS	66502	051	2025-10-30T16:44:29
43856	5141	6991	0	91200848	MINERS NATIONAL BANK OF EVELETH, THE	401 GRANT AVENUE 	EVELETH	MN	55734	051	2025-10-27T15:45:20
43959	18155	0	0	113123528	BRIDGE CITY STATE BANK	701 W. ROUNDBUNCH 	BRIDGE CITY	TX	77611	051	2025-10-24T17:44:39
44040	4364	9784	0	74908426	FIRST NATIONAL BANK OF MONTEREY, THE	6222 EAST MAIN STREET 	MONTEREY	IN	46960	051	2025-10-27T16:57:06
44433	25258	18283	14891	67011812	INTERCREDIT BANK, NATIONAL ASSOCIATION	396 ALHAMBRA CIRCLE SUITE 250	CORAL GABLES	FL	33134	041	2025-11-06T11:58:17
44741	9647	0	0	74905225	CITIZENS BANK	33 NORTH INDIANA STREET 	MOORESVILLE	IN	46158	051	2025-10-27T16:21:44
44750	16126	0	0	81518139	CITIZENS BANK OF THE MIDWEST	1515 MARTIN SPRINGS DRIVE 	ROLLA	MO	65401	051	2025-10-28T13:10:39
44929	6637	46	0	44106384	FIRST NATIONAL BANK OF MCCONNELSVILLE, THE	86 NORTH KENNEBEC AVENUE 	MCCONNELSVILLE	OH	43756	041	2025-10-15T13:43:52
45056	9818	0	0	104908134	PLATTE VALLEY BANK	606 MAIN 	NORTH BEND	NE	68649	051	2025-12-22T11:54:05
45458	17927	0	0	101109130	VINTAGE BANK KANSAS	101 SOUTH MAIN 	LEON	KS	67074	051	2025-10-21T15:28:07
45551	5170	0	0	73920829	BANK MIDWEST	1800 ROYAL AVENUE 	SPIRIT LAKE	IA	51360	051	2026-02-02T18:25:03
45560	16470	0	0	114000763	JEFFERSON BANK	1900 BROADWAY 	SAN ANTONIO	TX	78215	041	2025-10-30T12:43:33
45775	28908	0	2601	231371692	IRON WORKERS SAVINGS BANK	3333 CONCORD ROAD 	ASTON	PA	19014	051	2025-10-27T12:50:13
46053	1610	0	0	91900559	STATE BANK OF FARIBAULT, THE	428 CENTRAL AVE. 	FARIBAULT	MN	55021	051	2025-10-27T09:50:13
46941	2765	0	0	83901773	FARMERS BANK AND TRUST COMPANY	111 WEST WASHINGTON 	PRINCETON	KY	42445	051	2025-10-22T11:36:44
47247	5033	0	11837	72410903	DART BANK, THE	368 SOUTH PARK STREET 	MASON	MI	488540040	041	2026-02-10T13:49:10
47500	18038	0	7619	211770190	CLAREMONT SAVINGS BANK	145 BROAD STREET 	CLAREMONT	NH	03743	051	2025-10-27T12:54:10
48374	28905	0	0	282970110	FIRST FINANCIAL BANK	300 EAST PEACH STREET 	EL DORADO	AR	71730	051	2025-10-29T18:39:50
48440	9517	0	0	75904856	CLEVELAND STATE BANK	1250 WEST WASHINGTON AVENUE 	CLEVELAND	WI	53015	051	2025-10-29T17:00:46
49054	10212	0	0	91912576	COMMERCE BANK	101 CENTRAL AVENUE SOUTH 	GENEVA	MN	56035	051	2025-10-30T12:29:20
49148	9265	0	0	71105866	RUSHVILLE STATE BANK	100 EAST LAFAYETTE STREET 	RUSHVILLE	IL	62681	051	2025-10-30T14:49:39
49241	19371	0	0	82901088	RELYANCE BANK	8500 SHERIDAN ROAD 	WHITE HALL	AR	71602	051	2026-04-14T16:12:43
49652	16473	0	0	101102438	FIRST BANK	128 SOUTH BROADWAY 	STERLING	KS	67579	051	2025-10-29T15:29:58
49858	26727	0	0	114917157	BANK OF SOUTH TEXAS	1421 EAST NOLANA AVENUE 	MCALLEN	TX	78504	051	2025-10-30T17:42:28
49951	4041	0	0	103110305	FIRST SECURITY BANK, THE	15 SOUTH DOUGLAS AVENUE 	BEAVER	OK	73932	051	2025-10-30T18:43:45
50144	14561	0	0	83906228	STATE BANK OF MEDORA	24 EAST MAIN STREET 	MEDORA	IN	47260	051	2025-10-14T13:15:33
50461	23242	0	0	121038265	CALIFORNIA PACIFIC BANK	24301 SOUTHLAND DRIVE, SUITE 501 	HAYWARD	CA	94545	041	2025-10-30T19:42:38
51253	9176	0	0	84307761	APEX BANK	102 EAST MAIN STREET 	CAMDEN	TN	38320	041	2025-11-21T11:29:32
51356	22839	0	0	103102300	LATIMER STATE BANK	301 WEST MAIN STREET 	WILBURTON	OK	74578	041	2026-01-14T09:38:33
51459	16436	0	0	101110271	CENTERA BANK	119 SOUTH INMAN 	SUBLETTE	KS	67877	051	2025-10-29T15:48:59
51842	14445	0	0	75902670	FARMERS & MERCHANTS UNION BANK	159 WEST JAMES STREET 	COLUMBUS	WI	53925	041	2025-10-28T15:01:19
52719	90544	0	0	26002066	DEPOSITORY TRUST COMPANY, THE	140 58TH STREET 	BROOKLYN	NY	11220	041	2025-10-29T12:07:53
52951	8980	0	0	103109374	SECURITY STATE BANK OF OKLAHOMA	210 SOUTH MEKUSUKEY 	WEWOKA	OK	74884	051	2025-10-24T15:02:53
53051	11916	0	0	111909773	BUCKHOLTS STATE BANK, THE	100 N. 4TH STREET 	BUCKHOLTS	TX	76518	051	2025-10-29T11:16:23
54058	1868	0	0	101106285	BANK OF TESCOTT, THE	FIRST AND MAIN STREETS 	TESCOTT	KS	67484	041	2026-01-26T11:27:32
54973	32526	708384	8384	321370765	AMERICAN SAVINGS BANK, F.S.B.	1001 BISHOP STREET 	HONOLULU	HI	96813	041	2025-10-30T17:27:43
55336	16539	0	0	65404560	METAIRIE BANK & TRUST COMPANY	3344 METAIRIE ROAD 	METAIRIE	LA	70001	051	2025-10-28T13:33:17
55635	10319	0	0	64000185	CITIZENS SAVINGS BANK AND TRUST COMPANY	2013 JEFFERSON STREET 	NASHVILLE	TN	37208	051	2025-12-04T16:01:56
55970	28914	702610	2610	323270274	EVERGREEN FEDERAL BANK	969 SOUTHEAST SIXTH STREET 	GRANTS PASS	OR	97526	051	2025-10-27T13:56:02
56258	10218	0	0	91901862	CITIZENS BANK & TRUST CO., HUTCHINSON, MINN.	102 MAIN STREET S. 	HUTCHINSON	MN	55350	051	2025-10-23T11:47:41
56351	3250	13443	0	111903151	VERABANK, NATIONAL ASSOCIATION	201 WEST MAIN STREET 	HENDERSON	TX	75652	041	2025-10-29T12:01:46
56548	14769	0	0	75910484	DMB COMMUNITY BANK	10 TERRACE COURT, SUITE 100 	MADISON	WI	53718	051	2025-10-10T15:09:57
56717	9888	0	0	31308551	DIME BANK, THE	820-822 CHURCH STREET 	HONESDALE	PA	18431	051	2025-10-30T16:30:20
57451	17162	0	0	91811004	DAIRY STATE BANK	16 S. MAIN STREET 	RICE LAKE	WI	54868	051	2025-10-23T12:20:06
