rssd_id,bank_name,search_term
276579,"ZIONS BANCORPORATION, NATIONAL ASSOCIATION",Zions Bancorporation
652874,NEXBANK,Nexbank
936855,"UMB BANK, NATIONAL ASSOCIATION",Umb Bank
3187630,FORBRIGHT BANK,Forbright Bank
3076220,STIFEL BANK,Stifel Bank
664756,PROSPERITY BANK,Prosperity Bank
783648,CENTIER BANK,Centier Bank
1394676,AMERICAN EXPRESS NATIONAL BANK,American Express National Bank
722777,"SANTANDER BANK, NATIONAL ASSOCIATION",Santander Bank
3783313,CROSS RIVER BANK,Cross River Bank
814430,CITY NATIONAL BANK OF FLORIDA,City National Bank Of Florida
764030,AMERIS BANK,Ameris Bank
229913,MIZUHO BANK (USA),Mizuho Bank (Usa)
766164,"TBK BANK, SSB","Tbk Bank, Ssb"
3475083,TRISTATE CAPITAL BANK,Tristate Capital Bank
229801,VALLEY NATIONAL BANK,Valley National Bank
3076248,STIFEL BANK AND TRUST,Stifel Bank And Trust
3650808,LIVE OAK BANKING COMPANY,Live Oak Banking Company
682563,FROST BANK,Frost Bank
468806,NORTHEAST BANK,Northeast Bank
667757,ORIGIN BANK,Origin Bank
1929247,"SOUTHSTATE BANK, N.A.",Southstate Bank
606046,CADENCE BANK,Cadence Bank
3637685,FIRST FOUNDATION BANK,First Foundation Bank
671464,BANK OF HOPE,Bank Of Hope
316840,REPUBLIC BANK & TRUST COMPANY,Republic Bank & Trust Company
339858,"BOKF, NATIONAL ASSOCIATION",Bokf
663245,SIMMONS BANK,Simmons Bank
2119773,"HINSDALE BANK & TRUST COMPANY, NATIONAL ASSOCIATION",Hinsdale Bank & Trust Company
143662,COLUMBIA BANK,Columbia Bank
934329,"BNY MELLON, NATIONAL ASSOCIATION",Bny Mellon
412751,WOODFOREST NATIONAL BANK,Woodforest National Bank
137915,EMIGRANT BANK,Emigrant Bank
128904,EASTERN BANK,Eastern Bank
23504,DIME COMMUNITY BANK,Dime Community Bank
1190476,ENTERPRISE BANK & TRUST,Enterprise Bank & Trust
379920,FIRST NATIONAL BANK OF PENNSYLVANIA,First National Bank Of Pennsylvania
662369,BANK OF THE SIERRA,Bank Of The Sierra
165628,FIRST FINANCIAL BANK,First Financial Bank
637451,PLAINSCAPITAL BANK,Plainscapital Bank
463735,HANCOCK WHITNEY BANK,Hancock Whitney Bank
320119,ISRAEL DISCOUNT BANK OF NEW YORK,Israel Discount Bank Of New York
437914,"WILMINGTON SAVINGS FUND SOCIETY, FSB","Wilmington Savings Fund Society, Fsb"
3150447,"CHARLES SCHWAB BANK, SSB","Charles Schwab Bank, Ssb"
3325759,PRIMIS BANK,Primis Bank
929352,BELL BANK,Bell Bank
940311,BANCO POPULAR DE PUERTO RICO,Banco Popular De Puerto Rico
474759,"SUNFLOWER BANK, NATIONAL ASSOCIATION",Sunflower Bank
2239288,"WINTRUST BANK, NATIONAL ASSOCIATION",Wintrust Bank
365325,UNITED BANK,United Bank
